month,casual,member
Jan,7785,136099
Feb,12314,126714
Mar,24615,115593
Apr,47744,217566
May,81624,285834
Jun,130218,345177
Jul,175632,381683
Aug,186889,403295
Sep,129173,364046
Oct,71035,300751
Nov,18723,158440
Dec,16430,138662
